"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"Michael Jackson","Music","United States","Music","United States","North America","28200000","14412474625","634400.00","5773640170",2005
"Post Malone","Music","United States","Music","United States","North America","25500000","14401218086","782000.00","5768371834",2011
"The Chainsmokers","Music","United States","Music","United States","North America","22600000","14231943358","326600.00","5699655323",2012
"Adele","Music","United Kingdom","Music","United Kingdom","Europe","30200000","14199108016","548400.00","5688867726",2008
"CNN","News & Politics","United States","Other","United States","North America","15200000","14198154095","748000.00","5684046038",2005
"Beyonc��","Music","United States","Music","United States","North America","12800000","14185611472","358300.00","5678192079",2009
"TRANS7 OFFICIAL","Entertainment","Indonesia","Entertainment","Indonesia","Asia","25000000","14169516119","492800.00","5675454288",2014
"NichLmao","People & Blogs","Nothing","People & Blogs","Nothing","Other","26000000","14101010609","2400000.00","5648924244",2018
"Trap Nation","Music","United States","Music","United States","North America","30400000","14037426379","183300.00","5624145542",2012
"ANNA KOVA","People & Blogs","Nothing","People & Blogs","Nothing","Other","12400000","13959586308","0.01","5587554523",2006
"Spider Slack","Comedy","Brazil","Comedy","Brazil","South America","24000000","13943030228","3000000.00","5585312091",2020
"Sony AATH","Shows","United States","Other","United States","North America","19600000","13930021471","1100000.00","5578218588",2013
"Gusttavo Lima Oficial","Music","Brazil","Music","Brazil","South America","19900000","13917423958","859200.00","5573197343",2010
"Chapitosiki","Entertainment","Russia","Entertainment","Russia","Europe","15100000","13897932103","2900000.00","5564572841",2020
"SSundee","Gaming","United States","Gaming","United States","North America","22500000","13835173331","700400.00","5541029452",2009
"Turma da M��","Film & Animation","Brazil","Film & Animation","Brazil","South America","19000000","13824277846","307600.00","5535503418",2012
"Billie Eilish","Music","United States","Music","United States","North America","47900000","13626331061","587400.00","5465078644",2013
"One Direction","Music","United States","Music","United States","North America","38200000","13598903820","25.00","5451021536",2016
"Masha y el Oso","Film & Animation","Nothing","Film & Animation","Nothing","Other","28300000","13577142726","0.01","5439347090",2019
"ISSEI / ����","Comedy","Japan","Comedy","Japan","Asia","15000000","13562853889","1100000.00","5429971556",2014
"Boram Tube Vlog [���������","Entertainment","United States","Entertainment","United States","North America","30300000","13546549817","90900.00","5427737197",2012
"ETV Jabardasth","People & Blogs","India","People & Blogs","India","Asia","14000000","13542939513","534300.00","5421536095",2015
"RCTI - LAYAR DRAMA INDONESIA","Entertainment","Nothing","Entertainment","Nothing","Other","16400000","13478392540","0.00","5396277016",2020
"Sia","Music","United States","Music","United States","North America","22600000","13405849040","381000.00","5369233916",2007
"Linkin Park","Music","Afghanistan","Music","Afghanistan","Other","20400000","13397000296","0.00","5364920118",2006
"Wiz Khalifa","Music","United States","Music","United States","North America","27500000","13379395501","361800.00","5360116740",2008
"Jake Fellman","Entertainment","United States","Entertainment","United States","North America","18100000","13378360425","2000000.00","5357374170",2012
"Fueled By Ramen","Music","United States","Music","United States","North America","14800000","13356517783","244800.00","5347120553",2006
"BabyBus - Canciones Infantiles & Videos para Ni��","Education","Mexico","Education","Mexico","North America","22900000","13206471140","547300.00","5289622646",2018
"YoungBoy Never Broke Again","Entertainment","United States","Entertainment","United States","North America","12700000","13174393401","679900.00","5273771330",2015
"Kids TV - Nursery Rhymes And Baby Songs","Shows","United States","Other","United States","North America","23100000","13151870846","513800.00","5267832478",2013
"REACT","Entertainment","United States","Entertainment","United States","North America","20000000","13154314376","92800.00","5267753590",2007
"Jimmy Kimmel Live","Entertainment","United States","Entertainment","United States","North America","19100000","13124645973","69000.00","5255609089",2006
